 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/1102" , "http://viaf.org/viaf/100254861" ,
 "http://data.cervantesvirtual.com/person/11020" , "http://viaf.org/viaf/24607104" ,
 "http://data.cervantesvirtual.com/person/11026" , "http://viaf.org/viaf/41872978" ,
 "http://data.cervantesvirtual.com/person/11035" , "http://viaf.org/viaf/88026962" ,
 "http://data.cervantesvirtual.com/person/11041" , "http://viaf.org/viaf/24609814" ,
 "http://data.cervantesvirtual.com/person/11062" , "http://viaf.org/viaf/9850739" ,
 "http://data.cervantesvirtual.com/person/11065" , "http://viaf.org/viaf/100187376" ,
 "http://data.cervantesvirtual.com/person/11092" , "http://viaf.org/viaf/64140695" ,
 "http://data.cervantesvirtual.com/person/111" , "http://viaf.org/viaf/9859150" ,
 "http://data.cervantesvirtual.com/person/11100" , "http://viaf.org/viaf/54148306" ,
 "http://data.cervantesvirtual.com/person/11101" , "http://viaf.org/viaf/36955985" ,
 "http://data.cervantesvirtual.com/person/11105" , "http://viaf.org/viaf/91231153" ,
 "http://data.cervantesvirtual.com/person/1111" , "http://viaf.org/viaf/114473675" ,
 "http://data.cervantesvirtual.com/person/11114" , "http://viaf.org/viaf/93451324" ,
 "http://data.cervantesvirtual.com/person/11119" , "http://viaf.org/viaf/22257210" ,
 "http://data.cervantesvirtual.com/person/11126" , "http://viaf.org/viaf/22945913" ,
 "http://data.cervantesvirtual.com/person/11137" , "http://viaf.org/viaf/34583163" ,
 "http://data.cervantesvirtual.com/person/11142" , "http://viaf.org/viaf/27213370" ,
 "http://data.cervantesvirtual.com/person/11147" , "http://viaf.org/viaf/61612368" ,
 "http://data.cervantesvirtual.com/person/11153" , "http://viaf.org/viaf/32214035" ,
 "http://data.cervantesvirtual.com/person/2676" , "http://viaf.org/viaf/32214035" ,
 "http://data.cervantesvirtual.com/person/11163" , "http://viaf.org/viaf/59148930" ,
 "http://data.cervantesvirtual.com/person/11165" , "http://viaf.org/viaf/9049549" ,
 "http://data.cervantesvirtual.com/person/1117" , "http://viaf.org/viaf/111131361" ,
 "http://data.cervantesvirtual.com/person/11172" , "http://viaf.org/viaf/68551292" ,
 "http://data.cervantesvirtual.com/person/11175" , "http://viaf.org/viaf/44373977" ,
 "http://data.cervantesvirtual.com/person/11183" , "http://viaf.org/viaf/41848725" ,
 "http://data.cervantesvirtual.com/person/11187" , "http://viaf.org/viaf/4981367" ,
 "http://data.cervantesvirtual.com/person/11206" , "http://viaf.org/viaf/10651086" ,
 "http://data.cervantesvirtual.com/person/11219" , "http://viaf.org/viaf/87801618" ,
 "http://data.cervantesvirtual.com/person/11226" , "http://viaf.org/viaf/77790863" ,
 "http://data.cervantesvirtual.com/person/1123" , "http://viaf.org/viaf/17365433" ,
 "http://data.cervantesvirtual.com/person/11241" , "http://viaf.org/viaf/2486799" ,
 "http://data.cervantesvirtual.com/person/11243" , "http://viaf.org/viaf/71442256" ,
 "http://data.cervantesvirtual.com/person/11275" , "http://viaf.org/viaf/12329926" ,
 "http://data.cervantesvirtual.com/person/11286" , "http://viaf.org/viaf/64229902" ,
 "http://data.cervantesvirtual.com/person/11304" , "http://viaf.org/viaf/70802731" ,
 "http://data.cervantesvirtual.com/person/11307" , "http://viaf.org/viaf/100219162" ,
 "http://data.cervantesvirtual.com/person/11326" , "http://viaf.org/viaf/98036383" ,
 "http://data.cervantesvirtual.com/person/11331" , "http://viaf.org/viaf/109580884" ,
 "http://data.cervantesvirtual.com/person/11333" , "http://viaf.org/viaf/22947763" ,
 "http://data.cervantesvirtual.com/person/11357" , "http://viaf.org/viaf/42007121" ,
 "http://data.cervantesvirtual.com/person/11369" , "http://viaf.org/viaf/99942145" ,
 "http://data.cervantesvirtual.com/person/11370" , "http://viaf.org/viaf/100169398" ,
 "http://data.cervantesvirtual.com/person/11372" , "http://viaf.org/viaf/54179382" ,
 "http://data.cervantesvirtual.com/person/17524" , "http://viaf.org/viaf/54179382" ,
 "http://data.cervantesvirtual.com/person/11375" , "http://viaf.org/viaf/4966338" ,
 "http://data.cervantesvirtual.com/person/11389" , "http://viaf.org/viaf/92761141" ,
 "http://data.cervantesvirtual.com/person/11392" , "http://viaf.org/viaf/34464361" ,
 "http://data.cervantesvirtual.com/person/11417" , "http://viaf.org/viaf/32266893" ,
 "http://data.cervantesvirtual.com/person/11422" , "http://viaf.org/viaf/41847457" ,
 "http://data.cervantesvirtual.com/person/11445" , "http://viaf.org/viaf/44572964" ,
 "http://data.cervantesvirtual.com/person/11450" , "http://viaf.org/viaf/3330738" ,
 "http://data.cervantesvirtual.com/person/11454" , "http://viaf.org/viaf/7616864" ,
 "http://data.cervantesvirtual.com/person/11455" , "http://viaf.org/viaf/87696117" ,
 "http://data.cervantesvirtual.com/person/11458" , "http://viaf.org/viaf/5231199" ,
 "http://data.cervantesvirtual.com/person/11476" , "http://viaf.org/viaf/7385237" ,
 "http://data.cervantesvirtual.com/person/11486" , "http://viaf.org/viaf/86842507" ,
 "http://data.cervantesvirtual.com/person/11489" , "http://viaf.org/viaf/9861812" ,
 "http://data.cervantesvirtual.com/person/11493" , "http://viaf.org/viaf/100256859" ,
 "http://data.cervantesvirtual.com/person/11494" , "http://viaf.org/viaf/100218929" ,
 "http://data.cervantesvirtual.com/person/11497" , "http://viaf.org/viaf/114768796" ,
 "http://data.cervantesvirtual.com/person/11510" , "http://viaf.org/viaf/37712445" ,
 "http://data.cervantesvirtual.com/person/11515" , "http://viaf.org/viaf/68938301" ,
 "http://data.cervantesvirtual.com/person/11521" , "http://viaf.org/viaf/56624740" ,
 "http://data.cervantesvirtual.com/person/11540" , "http://viaf.org/viaf/74745894" ,
 "http://data.cervantesvirtual.com/person/11542" , "http://viaf.org/viaf/9987878" ,
 "http://data.cervantesvirtual.com/person/11549" , "http://viaf.org/viaf/54161470" ,
 "http://data.cervantesvirtual.com/person/11550" , "http://viaf.org/viaf/22156967" ,
