s,sLabel
http://www.wikidata.org/entity/Q121060,Matthew Lewis
http://www.wikidata.org/entity/Q942980,Julius Zeyer
http://www.wikidata.org/entity/Q954465,José Luis Appleyard
http://www.wikidata.org/entity/Q954720,Johan Sebastian Welhaven
http://www.wikidata.org/entity/Q971215,Catulle Mendès
http://www.wikidata.org/entity/Q123291,Otto Ernst
http://www.wikidata.org/entity/Q66942,Daniel Casper von Lohenstein
http://www.wikidata.org/entity/Q77528,Gaston Salvatore
http://www.wikidata.org/entity/Q77482,Peter Härtling
http://www.wikidata.org/entity/Q85590,Paul Leppin
http://www.wikidata.org/entity/Q90074,Max Mell
http://www.wikidata.org/entity/Q93356,Seamus Heaney
http://www.wikidata.org/entity/Q97596,Johann Lauremberg
http://www.wikidata.org/entity/Q105756,John Updike
http://www.wikidata.org/entity/Q106769,Annemarie Bostroem
http://www.wikidata.org/entity/Q106740,Dorothy L. Sayers
http://www.wikidata.org/entity/Q109067,Viktor Dyk
http://www.wikidata.org/entity/Q115483,Max Frisch
http://www.wikidata.org/entity/Q930961,José Santos Chocano
http://www.wikidata.org/entity/Q930987,Herménégilde Chiasson
http://www.wikidata.org/entity/Q941701,Virgilio Piñera
http://www.wikidata.org/entity/Q971493,Nathaniel Parker Willis
http://www.wikidata.org/entity/Q972064,Fran Saleški Finžgar
http://www.wikidata.org/entity/Q66388,Karl von Holtei
http://www.wikidata.org/entity/Q67248,Joachim Wilhelm von Brawe
http://www.wikidata.org/entity/Q77488,Heinrich Wilhelm von Gerstenberg
http://www.wikidata.org/entity/Q78514,Franz Werfel
http://www.wikidata.org/entity/Q78977,Ferdinand von Saar
http://www.wikidata.org/entity/Q112214,Alexander Lernet-Holenia
http://www.wikidata.org/entity/Q925452,Felix Aderca
http://www.wikidata.org/entity/Q927190,Károly Kisfaludy
http://www.wikidata.org/entity/Q951010,Frank O'Hara
http://www.wikidata.org/entity/Q966234,Henri Ghéon
http://www.wikidata.org/entity/Q69201,Reinhard Sorge
http://www.wikidata.org/entity/Q77214,Andreas Gryphius
http://www.wikidata.org/entity/Q110163,Carl Blum
http://www.wikidata.org/entity/Q113089,Robert Garnier
http://www.wikidata.org/entity/Q931103,Susanna Centlivre
http://www.wikidata.org/entity/Q954336,Jaromír Typlt
http://www.wikidata.org/entity/Q954735,Samuel Daniel
http://www.wikidata.org/entity/Q955088,Guido Ceronetti
http://www.wikidata.org/entity/Q956310,Nahum Tate
http://www.wikidata.org/entity/Q67322,Johann Elias Schlegel
http://www.wikidata.org/entity/Q68815,Christian Felix Weiße
http://www.wikidata.org/entity/Q78813,Ignaz Franz Castelli
http://www.wikidata.org/entity/Q78939,Baron Eligius Franz Joseph von Münch-Bellinghausen
http://www.wikidata.org/entity/Q90115,Georg Britting
http://www.wikidata.org/entity/Q93343,Percy Bysshe Shelley
http://www.wikidata.org/entity/Q120958,Philippe Godet
http://www.wikidata.org/entity/Q925563,Ján Chalupka
http://www.wikidata.org/entity/Q940439,Auguste Vacquerie
http://www.wikidata.org/entity/Q948002,Vincent Šikula
http://www.wikidata.org/entity/Q965739,Hanibal Lucić
http://www.wikidata.org/entity/Q65863,Luise Gottsched
http://www.wikidata.org/entity/Q68036,Stefan Andres
http://www.wikidata.org/entity/Q73072,Georg Wickram
http://www.wikidata.org/entity/Q77708,Hermann Kasack
http://www.wikidata.org/entity/Q78491,Stefan Zweig
http://www.wikidata.org/entity/Q88970,Julius Grosse
http://www.wikidata.org/entity/Q118936,Rafael Alberti
http://www.wikidata.org/entity/Q954563,Charles Rivière Dufresny
http://www.wikidata.org/entity/Q955217,Thomas Otway
http://www.wikidata.org/entity/Q966764,Holger Drachmann
http://www.wikidata.org/entity/Q972346,Gonçalo Tavares
http://www.wikidata.org/entity/Q58799,Wolfgang Borchert
http://www.wikidata.org/entity/Q65504,Hermann Kesten
http://www.wikidata.org/entity/Q57426,Heiner Müller
http://www.wikidata.org/entity/Q57242,August von Kotzebue
http://www.wikidata.org/entity/Q59737,Jan Kochanowski
http://www.wikidata.org/entity/Q60259,Dietrich Eckart
http://www.wikidata.org/entity/Q61940,Sinaida Hippius
http://www.wikidata.org/entity/Q62432,August von Platen-Hallermünde
http://www.wikidata.org/entity/Q65019,Herbert Eulenberg
http://www.wikidata.org/entity/Q57266,Ernst Toller
http://www.wikidata.org/entity/Q60869,Günter Eich
http://www.wikidata.org/entity/Q64404,Arno Holz
http://www.wikidata.org/entity/Q57281,August Wilhelm von Schlegel
http://www.wikidata.org/entity/Q61601,Georg Heym
