"s","viafid"
"http://datos.bne.es/resource/XX819886","http://viaf.org/viaf/27163580"
"http://datos.bne.es/resource/XX819889","http://viaf.org/viaf/87604336"
"http://datos.bne.es/resource/XX819905","http://viaf.org/viaf/87604389"
"http://datos.bne.es/resource/XX819934","http://viaf.org/viaf/87604468"
"http://datos.bne.es/resource/XX819939","http://viaf.org/viaf/14613545"
"http://datos.bne.es/resource/XX819940","http://viaf.org/viaf/66556789"
"http://datos.bne.es/resource/XX819943","http://viaf.org/viaf/41835580"
"http://datos.bne.es/resource/XX819944","http://viaf.org/viaf/87604475"
"http://datos.bne.es/resource/XX819962","http://viaf.org/viaf/5036892"
"http://datos.bne.es/resource/XX819966","http://viaf.org/viaf/19120603"
"http://datos.bne.es/resource/XX819971","http://viaf.org/viaf/20239260"
"http://datos.bne.es/resource/XX819972","http://viaf.org/viaf/87604520"
"http://datos.bne.es/resource/XX819973","http://viaf.org/viaf/67789766"
"http://datos.bne.es/resource/XX819981","http://viaf.org/viaf/33317706"
"http://datos.bne.es/resource/XX819987","http://viaf.org/viaf/39385736"
"http://datos.bne.es/resource/XX819990","http://viaf.org/viaf/87604554"
"http://datos.bne.es/resource/XX819991","http://viaf.org/viaf/53730301"
"http://datos.bne.es/resource/XX819994","http://viaf.org/viaf/87604565"
"http://datos.bne.es/resource/XX820014","http://viaf.org/viaf/87604596"
"http://datos.bne.es/resource/XX820029","http://viaf.org/viaf/37208485"
"http://datos.bne.es/resource/XX820030","http://viaf.org/viaf/87604622"
"http://datos.bne.es/resource/XX820032","http://viaf.org/viaf/87604633"
"http://datos.bne.es/resource/XX820039","http://viaf.org/viaf/87604646"
"http://datos.bne.es/resource/XX820046","http://viaf.org/viaf/4803384"
"http://datos.bne.es/resource/XX820047","http://viaf.org/viaf/61699431"
"http://datos.bne.es/resource/XX820057","http://viaf.org/viaf/87604667"
"http://datos.bne.es/resource/XX820072","http://viaf.org/viaf/87604701"
"http://datos.bne.es/resource/XX820075","http://viaf.org/viaf/87604729"
"http://datos.bne.es/resource/XX820079","http://viaf.org/viaf/87604740"
"http://datos.bne.es/resource/XX820080","http://viaf.org/viaf/87604755"
"http://datos.bne.es/resource/XX820084","http://viaf.org/viaf/87604772"
"http://datos.bne.es/resource/XX820087","http://viaf.org/viaf/79068051"
"http://datos.bne.es/resource/XX820093","http://viaf.org/viaf/74291093"
"http://datos.bne.es/resource/XX820097","http://viaf.org/viaf/87604793"
"http://datos.bne.es/resource/XX820098","http://viaf.org/viaf/87604803"
"http://datos.bne.es/resource/XX820099","http://viaf.org/viaf/64026926"
"http://datos.bne.es/resource/XX820102","http://viaf.org/viaf/87604819"
"http://datos.bne.es/resource/XX820105","http://viaf.org/viaf/4070306"
"http://datos.bne.es/resource/XX820108","http://viaf.org/viaf/68143706"
"http://datos.bne.es/resource/XX820128","http://viaf.org/viaf/87604874"
"http://datos.bne.es/resource/XX820177","http://viaf.org/viaf/87605079"
"http://datos.bne.es/resource/XX820183","http://viaf.org/viaf/1815965"
"http://datos.bne.es/resource/XX820209","http://viaf.org/viaf/87605131"
"http://datos.bne.es/resource/XX820218","http://viaf.org/viaf/19697273"
"http://datos.bne.es/resource/XX820224","http://viaf.org/viaf/64072393"
"http://datos.bne.es/resource/XX820225","http://viaf.org/viaf/38215048"
"http://datos.bne.es/resource/XX820234","http://viaf.org/viaf/93250159"
"http://datos.bne.es/resource/XX820236","http://viaf.org/viaf/87605177"
"http://datos.bne.es/resource/XX820242","http://viaf.org/viaf/29534076"
"http://datos.bne.es/resource/XX820248","http://viaf.org/viaf/100163299"
"http://datos.bne.es/resource/XX820251","http://viaf.org/viaf/66647894"
"http://datos.bne.es/resource/XX820273","http://viaf.org/viaf/87605226"
"http://datos.bne.es/resource/XX820281","http://viaf.org/viaf/100376751"
"http://datos.bne.es/resource/XX820288","http://viaf.org/viaf/19159388"
"http://datos.bne.es/resource/XX820292","http://viaf.org/viaf/5031998"
"http://datos.bne.es/resource/XX820298","http://viaf.org/viaf/4905872"
"http://datos.bne.es/resource/XX820331","http://viaf.org/viaf/87605288"
"http://datos.bne.es/resource/XX820333","http://viaf.org/viaf/13751566"
"http://datos.bne.es/resource/XX820338","http://viaf.org/viaf/87605290"
"http://datos.bne.es/resource/XX820339","http://viaf.org/viaf/87605300"
"http://datos.bne.es/resource/XX820340","http://viaf.org/viaf/87605316"
"http://datos.bne.es/resource/XX820350","http://viaf.org/viaf/87605328"
"http://datos.bne.es/resource/XX820352","http://viaf.org/viaf/14031903"
"http://datos.bne.es/resource/XX820364","http://viaf.org/viaf/5056082"
"http://datos.bne.es/resource/XX820365","http://viaf.org/viaf/87605385"
"http://datos.bne.es/resource/XX820372","http://viaf.org/viaf/87605407"
"http://datos.bne.es/resource/XX820380","http://viaf.org/viaf/29312607"
"http://datos.bne.es/resource/XX820387","http://viaf.org/viaf/87605453"
"http://datos.bne.es/resource/XX820389","http://viaf.org/viaf/87605469"
"http://datos.bne.es/resource/XX820397","http://viaf.org/viaf/52347435"
"http://datos.bne.es/resource/XX820399","http://viaf.org/viaf/13742767"
"http://datos.bne.es/resource/XX820407","http://viaf.org/viaf/38495239"
"http://datos.bne.es/resource/XX820420","http://viaf.org/viaf/130836865"
"http://datos.bne.es/resource/XX820453","http://viaf.org/viaf/44522326"
"http://datos.bne.es/resource/XX820472","http://viaf.org/viaf/49253614"
"http://datos.bne.es/resource/XX820476","http://viaf.org/viaf/71397781"
"http://datos.bne.es/resource/XX820487","http://viaf.org/viaf/87605675"
"http://datos.bne.es/resource/XX820491","http://viaf.org/viaf/87605681"
"http://datos.bne.es/resource/XX820496","http://viaf.org/viaf/87605699"
"http://datos.bne.es/resource/XX820506","http://viaf.org/viaf/87605702"
"http://datos.bne.es/resource/XX820523","http://viaf.org/viaf/128491132"
"http://datos.bne.es/resource/XX820526","http://viaf.org/viaf/21335859"
"http://datos.bne.es/resource/XX820528","http://viaf.org/viaf/262760786"
"http://datos.bne.es/resource/XX820542","http://viaf.org/viaf/120558953"
"http://datos.bne.es/resource/XX820553","http://viaf.org/viaf/77855475"
"http://datos.bne.es/resource/XX820563","http://viaf.org/viaf/68733"
"http://datos.bne.es/resource/XX820571","http://viaf.org/viaf/87605870"
"http://datos.bne.es/resource/XX820579","http://viaf.org/viaf/45838026"
